Tender Title,Organization,Description,Procurement stage,Notice status,Approach to market date,Closing,Contract location,Min Contract value,Max Contract value,Publication date,Last Edited
"ASC0288 - Soft Market Testing - Home Care Service, Leicester",Leicester City Council,"THIS IS NOT A CALL FOR COMPETITION

Leicester City Council (the Authority) and the Leicester, Leicestershire and Rutland NHS Integrated Care Board (ICB) are recommissioning their Home Care Services, for the population of Leicester.

As part of the commissioning process, the Commissioners would like to undertake a soft market test. This gives ...",Early engagement,Open,Not Available,18 November 2022,East Midlands,Not Available,Not Available,10 November 2022,Not Available
Force Medical Advisor (FMA) Services,South West Police Procurement Service,"This procurement is for the provision of onsite Force Medical Advisor (FMA) Services for the following Police Forces in the South West Region: Gloucestershire and Wiltshire.
Both Forces are committed to supporting staff through periods of ill health and are seeking a suitably qualified and experienced Occupational Health Service Physician to ...",Opportunity,Open,Not Available,"9 December 2022, 12pm",South West,0,Not Available,10 November 2022,Not Available
Maidstone Grammar School ~ Catering Tender,Maidstone Grammar School,The successful Supplier will be required to provide catering services for Maidstone Grammar School.,Opportunity,Open,Not Available,"23 December 2022, 12pm",South East,2120000,Not Available,10 November 2022,Not Available
Cellular Pathology Managed Service Market Engagement,University Hospitals Birmingham NHS Foundation Trust,"University Hospitals Birmingham NHS Foundation Trust (UHB) is seeking to engage with suppliers interested in its requirement for a Cellular Pathology Managed Service.

The Cellular Pathology Service at University Hospitals Birmingham (UHB) NHS Foundation Trust is currently situated at the Queen Elizabeth Hospital (QEH) and Heartlands Hospital site,...",Early engagement,Open,Not Available,21 November 2022,West Midlands,Not Available,Not Available,10 November 2022,Not Available
Physiotherapy Services to BH Employees,Bolton at Home,"Bolton at Home Health, Safety & Wellbeing Services need a supplier to provide On Site Physiotherapy Services to their employees. The objective of the physiotherapy service is to provide employees with a timely access to a quality physiotherapy treatment service that facilitates a prompt, cost-effective and sustainable return to work. 

The service...",Opportunity,Open,Not Available,"12 December 2022, 12pm",England,52000,104000,10 November 2022,Not Available
Review of Attributable Climate Impacts in the UK,The Committee On Climate Change,"Under the Climate Change Act 2008 (section 57), an assessment of the risks facing the UK from the current and predicted impact of climate change is required every 5 years. The CCC is responsible for providing independent advice to the UK Government to inform that assessment.  
 
The Committee has recently provided its advice to the UK Government...",Opportunity,Open,Not Available,"5 December 2022,  5pm",London,55000,60000,10 November 2022,Not Available
1848 ITT SC - Sealant Deposition End Effector,The University of Nottingham,"Introduction: This is an Invitation to Tender (ITT) with information, instructions and guidance provided in this document.  Tender submission (consisting of the completion of the Online Supplier Questionnaire, Technical Response, and Commercial response documents) should be completed which is returned by all Tenderers who wish to bid for the ...",Opportunity,Open,Not Available,"2 December 2022, 12pm",NG7 2RN,70000,80000,10 November 2022,Not Available
"Provision of Specialist support to deliver Decision Advantage Pilot for the Multi-Domain Integration Change Programme (Culture, Behaviours and Mindset)",Ministry of Defence,"This Request for Information (RFI) is hereby being issued in relation to an upcoming Requirement. The aim is to seek information about where the market stands to better refine our requirement. 

Contract Duration: 6 Months

BACKGROUND

The requirement will be issued by Multi Domain Integration Change Programme (MDICP) Ministry of Defence.

Joint ...",Early engagement,Open,Not Available,24 November 2022,Any region,Not Available,Not Available,10 November 2022,Not Available
Identifying Non-Government User Requirements for the UK Climate Change Risk Assessment,The Committee On Climate Change,"Under the Climate Change Act 2008 (section 57), an assessment of the risks facing the UK from the current and predicted impact of climate change is required every 5 years. The CCC is responsible for providing independent advice to the UK Government to inform that assessment.  
 
The Committee has recently provided its advice to the UK Government...",Opportunity,Open,Not Available,"2 December 2022,  5pm",London,80000,100000,10 November 2022,Not Available
Reconfigure and refurbishment of classroom T11,LEEDS TRINITY UNIVERSITY,"The procurement will be conducted exclusively via the university's e-tendering website, where all documentation can be found and downloaded: 

https://neupc.delta-esourcing.com/members/leeds-trinity-university/ 


Accessing a Tender Opportunity via the university's e-tendering website:
•	Once you have created a supplier profile, ...",Opportunity,Open,Not Available,"8 December 2022, 10am",LS18 5HD,0,Not Available,10 November 2022,Not Available
University of Plymouth Workboat,UNIVERSITY OF PLYMOUTH,"The University of Plymouth has a requirement to augment their current fleet of research and diving support vessels in order to extend and enhance excellence in marine related research and teaching.

Please see attachment with the full specification of the requirement.

If you wish to express an interest, please email procurement@plymouth.ac.uk",Future opportunity,Open,23 November 2022,Not Available,PL4 8AA,150000,210000,9 November 2022,10 November 2022
BNSSG ICB Digital Shared Care Record System,"NHS SOUTH, CENTRAL AND WEST COMMISSIONING SUPPORT UNIT","Bristol North Somerset and South Gloucestershire Integrated Care Board (BNSSG ICB) is planning to go out to formal procurement for a Shared Care Record in or around March 2023.  In support of this, BNSSG ICB is planning to undertake market engagement activities.

BNSSG ICB is finalising what will be required in any new contract, including ...",Early engagement,Open,Not Available,12 December 2022,South West,Not Available,Not Available,10 November 2022,Not Available
Insurance Tender,London Borough of Hackney,The London Borough of Hackney is seeking tender submissions from suitably experienced organisations for comprehensive insurance arrangements to be in place with effect from 1 April 2023 for a period of three (3) years with an option to extend the term for a further two (2) years. The requirement will be split into six individual lots and suppliers...,Opportunity,Open,Not Available,"12 December 2022, 12pm",England,15000000,Not Available,10 November 2022,Not Available
The Supply of Personal Protective Equipment (PPE),PD Ports,"The purpose of this ITT is to invite Tenderers to submit a detailed and fully costed Tender for a three (3) year Contract (which may be extended at the option of the Company by a further two (2) years) to supply Personal Protective Equipment (PPE) to the Company, as and when required.",Opportunity,Open,Not Available,"25 November 2022,  1pm",TS2 1AH,0,Not Available,27 October 2022,10 November 2022
"106_23 Lubricating Oils, Greases & Antifreeze",Espo,"ESPO is inviting tenders to appoint a range of suppliers onto a framework for the supply and delivery of lubricating oils, greases, antifreeze and associated ancillary products, including but not limited to, engine oils, hydraulic oils, transmission oils, agricultural oils, greases, antifreezes, miscellaneous oils and ancillaries, to its customers...",Opportunity,Open,Not Available,"12 December 2022, 12pm",United Kingdom,30000000,Not Available,10 November 2022,Not Available
